Titel,Url,Art,Gehalt (p.m.)*,Erfahrung,Ort,Datum
Gebietsverkaufsleiter (w/m),https://www.karriere.at/jobs/5469501,Vollzeit,0,Berufserfahrung,Tirol,28.3.2019
Frischemanager (m/w) im Vertriebsaußendienst,https://www.karriere.at/jobs/5466086,Vollzeit,4316,Berufserfahrung,Ennstal. Großraum Wien. Waldviertel. Mühlviertel. Graz. Salzburg. Tirol. Murtal (Bezirk),25.3.2019
Gebietsverkaufsleiter/in im Bereich Berufsverpflegung und Menü-Service,https://www.karriere.at/jobs/5448537,Vollzeit,2200,Projekt-. Bereichsleitung,Kärnten. Osttirol,19.3.2019
Gebietsverkaufsleiter (m/w) für die Gastronomiesparte,https://www.karriere.at/jobs/5426659,Vollzeit,2916,Projekt-. Bereichsleitung,Wien. Niederösterreich. Burgenland. Kufstein. St.Anton am Arlberg. Imst,29.3.2019
