Titel,Url,Art,Gehalt (p.m.)*,Erfahrung,Ort,Datum
JuristIn für die Rechtsabteilung,https://www.karriere.at/jobs/5479058,Vollzeit,1906,Berufserfahrung,Leobendorf,1.4.2019
Ferialpraktikum in der Rechtsabteilung,https://www.karriere.at/jobs/5460979,Praktika,0,Einsteiger,Mödling,1.4.2019
Kaufmännische AllrounderIn Schwerpunkt Personal. Finanzen und Recht,https://www.karriere.at/jobs/5482993,Vollzeit,0,Berufserfahrung,Brunn am Gebirge. Südlich von Wien,29.3.2019
Paralegal/Mitarbeiter Rechtsabteilung (m/w),https://www.karriere.at/jobs/5462267,Vollzeit. Teilzeit. geringfügig,0,Berufserfahrung,Wien. Schwechat,29.3.2019
Jurist/in - Koryphäe aus dem IT-Sektor gesucht!,https://www.karriere.at/jobs/5450004,Vollzeit,7500,Berufserfahrung,Linz. österreichweit,26.3.2019
Jurist/in mit Schwerpunkt Immaterialgüterrecht. Handelsrecht. Compliance,https://www.karriere.at/jobs/5455795,Vollzeit,7513,Berufserfahrung,Neunkirchen,25.3.2019
WirtschaftsjuristIn,https://www.karriere.at/jobs/5462336,Vollzeit,7715,Berufserfahrung,Wöllersdorf,1.4.2019
UnternehmensjuristIn für Forschungsprojekte,https://www.karriere.at/jobs/5460555,Vollzeit,3561,Berufserfahrung,Seibersdorf,1.4.2019
Junior Legal Counsel (m/w) mit Fokus IP,https://www.karriere.at/jobs/5481110,Vollzeit,2757,Berufserfahrung,Gumpoldskirchen,26.3.2019
