Titel,Url,Art,Gehalt (p.m.)*,Erfahrung,Ort,Datum
MitarbeiterIn in der Servicebank,https://www.karriere.at/jobs/5454505,Vollzeit,2197,Berufserfahrung,St. Paul im Lavanttal,29.3.2019
Lehre zur Bankkauffrau/- mann (w/m/d),https://www.karriere.at/jobs/5462905,Lehre,12060,Einsteiger,Villach,19.3.2019
